date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:08	77987/77987	---M--	200	added ('OK')	image/jpeg	etag:%2257cd9e26-130a3%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-04.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-04.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:10	55918/55918	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:09%20GMT	http://werkstatt.fuelthemes.net/portfolio/authentic-weather/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/authentic-weather/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:11	121696/121696	---M--	200	added ('OK')	image/jpeg	etag:%2257cd905d-1db60%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-03.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-03.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:13	62434/62434	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:13%20GMT	http://werkstatt.fuelthemes.net/portfolio/the-deer-hunter/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/the-deer-hunter/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:19	83500/83500	---M--	200	added ('OK')	image/jpeg	etag:%2257cdb011-1462c%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-06.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-06.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:20	110033/110033	---M--	200	added ('OK')	image/jpeg	etag:%2257cda709-1add1%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-05.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-05.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:20	57255/57255	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:20%20GMT	http://werkstatt.fuelthemes.net/portfolio/forpackad/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/forpackad/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:23	60961/60961	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:22%20GMT	http://werkstatt.fuelthemes.net/portfolio/coffeehood/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/coffeehood/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:24	55371/55371	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:24%20GMT	http://werkstatt.fuelthemes.net/portfolio/wrist-watch/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/wrist-watch/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:27	86040/86040	---M--	200	added ('OK')	image/jpeg	etag:%2257cefc23-15018%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-08.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-08.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:28	51077/51077	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:28%20GMT	http://werkstatt.fuelthemes.net/portfolio/recipes/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/recipes/index.html	(from http://werkstatt.fuelthemes.net/)
10:50:30	36107/36107	---M--	200	added ('OK')	image/jpeg	etag:%2257cf04b1-8d0b%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-11.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-11.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:31	74168/74168	---M--	200	added ('OK')	image/jpeg	etag:%2257cf0062-121b8%22	http://mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-09.jpg	C:/Users/komal/Desktop/Red%20Morphic/mrf0q11hs9f5smjcwivxd3qm.wpengine.netdna-cdn.com/wp-content/uploads/2016/09/m-09.jpg	(from http://werkstatt.fuelthemes.net/)
10:50:32	53086/53086	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202016%2005:20:32%20GMT	http://werkstatt.fuelthemes.net/portfolio/soul-plasticity/	C:/Users/komal/Desktop/Red%20Morphic/werkstatt.fuelthemes.net/portfolio/soul-plasticity/index.html	(from http://werkstatt.fuelthemes.net/)
